Order Date,Segment,Market,Sales,Profit
2012-01-03,Consumer,EU,358.02,71.58
2012-07-12,Consumer,US,537.544,53.7544
2014-10-13,Consumer,EU,1616.0625,113.9625
2012-11-21,Consumer,US,393.54,165.2868
2013-04-05,Consumer,Africa,527.01,168.63
2014-01-21,Consumer,APAC,867.96,86.76
2013-09-30,Consumer,EU,1497.9,0.0
2014-11-14,Consumer,APAC,2068.335,206.685
2012-10-22,Corporate,APAC,690.48,41.4
2014-12-30,Consumer,APAC,433.98,-166.47
2013-02-19,Home Office,APAC,1128.72,485.28
2014-11-29,Corporate,US,1979.89,494.9725
2014-08-11,Home Office,EU,1955.124,608.244
2014-09-04,Corporate,EU,590.94,118.17
2013-08-16,Consumer,EU,1184.391,-182.349
2013-02-22,Home Office,Africa,1743.96,714.96
2014-03-15,Home Office,APAC,793.5879,238.9779
2014-03-18,Consumer,APAC,1487.724,-488.916
2013-12-13,Corporate,EU,587.7,-340.98
2012-08-23,Home Office,APAC,1134.9,45.36
2013-06-17,Corporate,Africa,566.61,28.32
2011-11-25,Home Office,Africa,1285.44,449.88
2012-05-22,Consumer,Africa,899.55,-1109.55
2014-09-02,Consumer,EU,1117.701,206.301
2012-08-14,Consumer,EU,1345.329,328.779
2013-09-29,Consumer,EU,874.962,-68.058
2014-12-01,Home Office,US,1242.9,262.39
2014-07-02,Consumer,LATAM,1838.1,533.04
2014-06-16,Corporate,LATAM,1436.5212,587.1612
2012-06-27,Consumer,APAC,1272.48,534.42
2014-04-12,Corporate,Africa,1000.26,90.0
2011-05-30,Corporate,US,464.0,134.56
2014-11-29,Consumer,LATAM,738.288,-166.152
2012-10-01,Consumer,APAC,972.567,194.427
2013-09-04,Home Office,LATAM,607.9,79.0
2013-08-07,Corporate,APAC,869.1,252.0
2014-06-09,Consumer,LATAM,398.88,143.52
2014-12-23,Corporate,EU,290.7,93.0
2014-08-26,Home Office,APAC,1006.5897,-110.4003
2013-10-29,Consumer,APAC,660.312,242.112
2014-09-18,Home Office,US,1415.76,88.485
2013-04-25,Home Office,US,1325.76,149.148
2012-08-02,Consumer,APAC,1140.3,433.26
2013-06-13,Home Office,LATAM,825.1,297.0
2014-04-11,Consumer,LATAM,972.81048,36.93048
2011-12-07,Corporate,LATAM,723.72,-156.88
2014-08-22,Consumer,EU,879.6,96.72
2012-08-10,Corporate,EU,1281.75,499.8
2013-05-31,Corporate,US,2275.5,386.835
2011-12-01,Corporate,US,674.058,-19.2588
2014-09-16,Consumer,US,782.94,203.5644
2014-11-26,Consumer,APAC,1839.18,238.98
2014-03-20,Consumer,APAC,1272.48,458.04
2012-07-13,Corporate,EU,807.084,304.884
2013-06-12,Consumer,US,902.712,33.8517
2011-11-07,Home Office,EMEA,1272.6,279.96
2013-08-16,Corporate,EU,891.9,178.38
2011-05-17,Consumer,LATAM,849.8,-786.1
2013-07-01,Home Office,APAC,994.5,139.2
2014-12-03,Corporate,EU,1590.66,540.72
2013-08-28,Corporate,APAC,805.5,32.22
2014-10-17,Home Office,EU,898.38,116.76
2011-05-02,Consumer,US,479.984,89.997
2011-12-17,Consumer,Africa,683.064,-865.296
2012-06-20,Corporate,EU,1593.375,-1242.975
2014-11-21,Consumer,EU,1275.12,-1147.65
2013-06-04,Corporate,EU,447.552,-10.128
2014-08-08,Consumer,EU,1102.536,-275.634
2013-06-19,Corporate,EU,591.948,-642.852
2011-04-01,Corporate,EU,496.584,-289.836
2014-02-24,Corporate,EU,896.886,219.186
2012-09-17,Consumer,US,2003.92,-25.049
2011-11-25,Consumer,EU,1294.8,608.55
2013-10-02,Consumer,APAC,412.8,132.06
2014-03-14,Consumer,EU,547.83,153.36
2014-09-19,Consumer,Africa,415.08,58.08
2014-06-30,Consumer,Africa,1008.0,433.44
2011-04-05,Corporate,EU,1889.055,482.685
2013-12-09,Corporate,LATAM,701.54,287.56
2011-12-02,Consumer,US,883.92,-110.49
2011-12-26,Corporate,EU,1451.4,522.48
2013-12-04,Corporate,APAC,1679.616,-149.364
2013-01-28,Corporate,APAC,460.98,-241.2
2013-12-24,Corporate,US,1117.92,55.896
2012-12-06,Consumer,US,485.94,-89.089
2014-05-15,Home Office,EMEA,1001.7,80.1
2013-11-06,Consumer,EU,675.54,29.94
2014-11-14,Consumer,APAC,689.136,-226.464
2011-09-14,Consumer,US,601.3,198.429
2014-12-13,Consumer,LATAM,410.88,-191.84
2013-02-07,Consumer,Africa,865.98,268.38
2013-02-06,Home Office,EU,1508.256,-980.544
2012-12-07,Consumer,US,773.94,224.4426
2011-11-28,Corporate,US,397.6,43.736
2014-10-17,Consumer,LATAM,1482.84836,308.94836
2014-12-25,Consumer,US,1003.62,0.0
2013-10-21,Consumer,EMEA,1724.928,-1293.792
2011-10-03,Consumer,LATAM,1526.5,595.3
2011-10-19,Consumer,APAC,380.0736,-77.8464
2013-12-27,Corporate,Africa,471.18,230.85
2013-08-27,Corporate,Africa,1838.52,496.32
2013-05-04,Consumer,APAC,642.0,179.7
2012-09-26,Consumer,EU,370.899,86.529
2014-03-26,Corporate,EU,736.5,0.0
2012-11-17,Consumer,US,1323.9,383.931
2013-09-30,Corporate,LATAM,2142.0,728.28
2014-01-23,Home Office,US,2999.95,1379.977
2014-12-08,Corporate,LATAM,1192.8,-1580.46
2012-10-09,Consumer,US,631.96,303.3408
2011-02-14,Corporate,EMEA,465.0,130.2
2011-11-17,Corporate,US,733.95,352.296
2014-09-17,Home Office,EU,1854.495,432.645
2014-07-12,Consumer,EU,778.6935,119.0835
2014-10-08,Corporate,LATAM,851.57344,356.61344
2013-12-17,Home Office,APAC,1272.6,12.6
2012-08-13,Consumer,EU,541.296,-297.864
2014-01-13,Home Office,Canada,743.58,371.7
2012-12-11,Corporate,LATAM,1761.8692,526.0892
2011-06-01,Home Office,US,1503.25,496.0725
2012-07-12,Consumer,Africa,388.8,167.04
2012-02-25,Consumer,APAC,700.65,15.57
2014-04-18,Consumer,APAC,716.1,343.65
2014-12-23,Consumer,EMEA,1758.0,70.32
2012-12-04,Corporate,LATAM,797.232,-199.328
2013-06-28,Consumer,EU,403.866,98.676
2011-12-13,Consumer,EU,855.225,-376.335
2011-10-26,Consumer,APAC,862.0878,114.2478
2012-09-05,Home Office,APAC,1223.7912,-692.9388
2013-05-01,Consumer,APAC,1236.96,24.72
2012-06-22,Corporate,APAC,1499.7,494.85
2014-04-18,Home Office,US,2549.985,-3399.98
2013-02-05,Home Office,US,484.83,126.0558
2014-09-25,Corporate,US,655.9,275.478
2013-05-09,Consumer,Africa,602.76,0.0
2014-08-22,Home Office,EMEA,654.6,98.16
2014-12-27,Corporate,LATAM,842.32,-200.08
2013-05-27,Consumer,Africa,1236.96,346.32
2014-11-11,Consumer,APAC,550.128,143.088
2014-08-20,Home Office,APAC,2544.96,1068.84
2014-06-20,Corporate,US,760.116,-43.4352
2012-01-03,Consumer,US,1352.3976,-437.5404
2013-09-27,Corporate,EU,1553.76,730.26
2013-06-22,Consumer,APAC,789.93,229.05
2014-07-19,Consumer,EU,831.789,-0.081
2013-10-16,Corporate,EU,1708.14,512.4
2012-09-05,Home Office,APAC,794.3562,-609.6438
2011-11-25,Consumer,APAC,743.7,37.05
2013-05-24,Corporate,APAC,1140.75,0.0
2012-04-16,Consumer,EU,1912.5,535.5
2013-03-05,Corporate,APAC,831.1122,59.9922
2014-04-07,Consumer,EU,1060.56,-35.52
2011-09-06,Home Office,EU,665.55,66.42
2014-09-18,Corporate,LATAM,580.72,40.6
2014-01-15,Consumer,EMEA,877.92,280.8
2013-11-04,Corporate,APAC,712.8,128.25
2013-06-26,Consumer,EU,989.04,-435.24
2011-09-21,Home Office,LATAM,1403.244,-678.276
2014-06-04,Corporate,EU,413.64,198.54
2013-09-06,Corporate,APAC,1144.89,549.54
2012-11-02,Home Office,LATAM,1292.1,155.0
2013-09-09,Consumer,EU,1998.24,359.64
2014-01-20,Consumer,US,887.271,-63.3765
2012-08-10,Consumer,APAC,558.9552,-94.3248
2011-12-20,Home Office,US,455.1,100.122
2014-11-21,Consumer,APAC,1837.56,-114.99
2014-12-10,Corporate,LATAM,3445.344,-775.376
2013-10-30,Home Office,APAC,442.638,152.418
2013-07-02,Consumer,EU,679.671,60.291
2011-02-15,Consumer,APAC,1235.286,-456.174
2012-10-02,Consumer,US,503.96,50.396
2013-09-19,Corporate,Africa,792.36,118.8
2012-05-03,Consumer,LATAM,1516.28136,680.60136
2014-11-25,Home Office,LATAM,727.5,121.2
2011-07-12,Consumer,APAC,1057.8,338.46
2014-06-18,Consumer,APAC,587.16,146.76
2014-10-30,Consumer,LATAM,659.54,151.62
2014-06-17,Corporate,APAC,1134.21,249.48
2013-01-30,Consumer,US,1439.968,143.9968
2011-04-08,Consumer,APAC,1666.656,18.396
2013-08-28,Home Office,Africa,911.04,118.38
2011-12-28,Corporate,LATAM,848.32,-996.78
2014-08-16,Corporate,APAC,1028.601,-220.419
2012-09-27,Consumer,US,1871.88,561.564
2014-09-03,Home Office,US,1199.8,323.946
2012-11-24,Consumer,APAC,645.138,157.698
2013-10-15,Consumer,US,1649.75,544.4175
2013-11-24,Consumer,EU,443.07,177.12
2012-01-02,Consumer,LATAM,417.34,208.56
2012-05-11,Corporate,EU,1054.02,337.26
2013-12-20,Consumer,APAC,1027.2,287.52
2012-11-20,Corporate,APAC,873.2928,168.2928
2014-07-10,Home Office,Africa,561.12,84.0
2013-08-13,Corporate,LATAM,724.12,21.72
2012-04-04,Consumer,US,644.076,107.346
2012-02-13,Consumer,APAC,612.684,-296.136
2012-02-15,Consumer,APAC,546.0,60.0
2014-11-21,Consumer,LATAM,1078.08,452.76
2013-07-15,Home Office,LATAM,751.872,56.352
2012-12-04,Corporate,APAC,1495.35,164.4
2014-01-11,Consumer,EU,2243.88,246.72
2011-04-04,Home Office,Africa,657.84,184.08
2014-08-23,Consumer,EU,578.136,231.216
2013-06-15,Consumer,LATAM,1057.9798,103.8798
2011-08-17,Corporate,EMEA,578.976,-361.944
2013-07-04,Home Office,APAC,710.76,341.16
2014-09-26,Home Office,APAC,877.38,394.8
2011-09-12,Home Office,EU,666.96,326.76
2014-11-13,Home Office,US,671.984,50.3988
2012-06-18,Home Office,EU,899.82,359.91
2014-08-22,Consumer,EU,815.796,-95.994
2013-12-12,Consumer,US,363.92,-31.843
2014-10-14,Consumer,US,348.56,104.568
2012-05-02,Consumer,Africa,529.8,116.52
2014-12-13,Consumer,EMEA,1070.16,321.0
2013-12-06,Consumer,LATAM,681.92,170.48
2012-04-14,Consumer,EU,1058.1,73.95
2014-07-22,Consumer,EU,1101.33,319.14
2011-06-09,Consumer,EU,667.539,-31.491
2012-02-27,Home Office,Africa,633.48,139.32
2013-11-29,Corporate,EU,2478.6,1018.98
2014-10-08,Consumer,US,1115.91,200.8638
2013-05-30,Home Office,EU,628.11,213.36
2011-12-19,Home Office,EU,1395.0,571.95
2014-09-29,Home Office,APAC,848.07,310.95
2013-02-18,Consumer,LATAM,1970.496,49.216
2013-06-27,Home Office,APAC,931.77,214.29
2014-02-06,Consumer,LATAM,1867.136,-93.504
2012-10-01,Consumer,US,572.8,50.12
2012-05-31,Consumer,US,2567.84,770.352
2014-10-07,Home Office,APAC,378.405,113.505
2014-11-10,Corporate,LATAM,1019.904,-408.016
2014-09-30,Consumer,APAC,720.42,201.66
2011-08-05,Corporate,US,1133.35,294.671
2011-11-23,Consumer,US,381.44,23.84
2011-11-08,Consumer,LATAM,394.704,-26.376
2014-04-15,Corporate,APAC,1354.95,108.3
2011-05-03,Corporate,EU,532.77,111.72
2011-08-09,Corporate,APAC,956.16,468.48
2013-06-24,Corporate,LATAM,1111.56,200.04
2011-12-20,Corporate,APAC,1899.54,398.88
2011-06-07,Consumer,LATAM,846.78304,269.74304
2011-12-05,Consumer,EU,640.725,-538.275
2011-12-09,Corporate,APAC,1725.057,306.657
2013-08-13,Home Office,Africa,1019.7,142.74
2012-11-29,Corporate,LATAM,699.2,104.88
2014-05-07,Home Office,EU,868.959,187.119
2013-12-27,Consumer,APAC,700.68,350.28
2011-09-14,Consumer,US,464.292,-108.3348
2014-09-01,Corporate,US,569.568,7.1196
2013-07-03,Corporate,EU,1011.738,404.628
2012-07-16,Consumer,EU,486.324,135.054
2013-10-11,Consumer,EU,947.22,274.68
2013-04-18,Corporate,EU,720.48,135.03
2012-04-17,Consumer,US,1447.65,419.8185
2012-12-04,Consumer,US,1799.75,539.925
2013-01-04,Consumer,EU,1523.664,-50.976
2011-10-07,Consumer,EMEA,1272.3,623.4
2011-03-25,Corporate,APAC,413.37,115.74
2014-06-16,Corporate,US,2239.936,223.9936
2014-12-26,Corporate,LATAM,1820.7,436.94
2013-04-11,Home Office,EU,387.396,31.896
2013-11-08,Consumer,LATAM,650.72,299.28
2011-10-06,Corporate,APAC,900.96,441.36
2011-03-29,Consumer,EU,639.0,44.73
2013-07-15,Corporate,US,380.864,38.0864
2012-06-20,Consumer,APAC,762.93,167.79
2011-01-10,Corporate,EMEA,588.6,276.6
2013-08-22,Consumer,APAC,1428.3,314.19
2012-09-27,Corporate,APAC,3187.5,350.55
2012-08-11,Home Office,EMEA,738.36,-424.56
2013-02-11,Home Office,Africa,1091.04,228.96
2012-11-15,Consumer,EMEA,496.83,84.45
2011-09-27,Consumer,EU,1140.75,239.49
2011-04-22,Corporate,EU,645.2775,75.8775
2014-09-25,Home Office,LATAM,735.408,82.728
2012-12-22,Home Office,EU,780.423,-535.227
2013-11-30,Consumer,EU,1828.98,566.73
2012-09-24,Home Office,US,1408.1,394.268
2013-12-19,Home Office,EU,573.615,-57.435
2012-04-13,Corporate,LATAM,519.66,72.72
2013-10-31,Corporate,APAC,1142.064,57.024
2013-10-16,Home Office,EMEA,1140.3,319.26
2013-07-31,Corporate,US,715.64,178.91
2011-06-10,Corporate,APAC,314.0046,39.8646
2011-08-19,Corporate,APAC,359.235,11.835
2014-12-01,Consumer,US,1781.682,-653.2834
2013-12-16,Consumer,EU,307.152,-30.888
2014-11-06,Home Office,APAC,2080.32,603.24
2012-09-10,Consumer,EU,682.5,197.85
2014-10-10,Consumer,LATAM,640.08,185.5
2013-01-07,Consumer,APAC,1603.314,142.344
2012-09-14,Consumer,LATAM,911.328,-615.192
2014-08-29,Corporate,APAC,1274.3625,314.8125
2014-10-27,Consumer,EU,444.5415,135.9315
2013-04-12,Consumer,LATAM,459.52,220.56
2011-06-13,Consumer,LATAM,1512.20952,102.92952
2011-02-16,Home Office,APAC,1210.86,423.78
2014-05-07,Corporate,US,772.68,-57.951
2014-12-17,Corporate,LATAM,275.52,49.58
2014-12-09,Consumer,EU,1052.433,-81.927
2012-09-13,Consumer,EU,274.995,3.915
2012-04-05,Corporate,US,892.224,89.2224
2012-12-03,Corporate,EU,985.824,-419.076
2014-11-10,Consumer,APAC,2408.0925,339.8925
2014-09-11,Consumer,APAC,930.0,158.1
2014-07-04,Corporate,LATAM,1301.44,598.56
2011-11-12,Consumer,LATAM,507.84,50.76
2014-09-19,Consumer,EMEA,918.78,0.0
2014-03-17,Home Office,US,445.44,-81.664
2011-11-01,Home Office,EMEA,1549.98,139.32
2014-09-15,Consumer,Africa,2180.34,959.22
2011-11-24,Consumer,EU,963.9,231.3
2012-10-03,Consumer,LATAM,766.8,-421.74
2013-10-22,Corporate,LATAM,672.19292,240.99292
2014-11-12,Consumer,EU,3221.4,1127.49
2013-11-28,Consumer,APAC,3232.845,-277.155
2012-03-23,Consumer,APAC,724.536,-471.024
2013-05-20,Consumer,APAC,621.45,192.6
2014-11-25,Consumer,LATAM,1387.68,242.78
2014-06-21,Home Office,EMEA,858.96,34.2
2014-08-04,Consumer,EU,613.89,171.81
2011-11-28,Consumer,US,998.85,-199.77
2013-12-21,Corporate,APAC,1239.3,24.75
2011-06-01,Consumer,US,881.93,229.3018
2012-06-08,Consumer,APAC,743.265,-520.335
2011-06-09,Home Office,EU,511.623,227.373
2012-05-17,Consumer,APAC,1162.485,284.085
2011-12-16,Home Office,US,627.168,70.5564
2014-08-13,Consumer,APAC,1218.45,268.05
2013-10-11,Home Office,APAC,395.4,169.92
2014-04-16,Consumer,APAC,1393.875,572.925
2011-05-23,Consumer,APAC,767.952,-358.488
2014-12-16,Home Office,EU,1058.1,73.95
2013-06-24,Consumer,APAC,770.85,-447.15
2013-07-08,Home Office,EU,384.72,34.56
2014-01-16,Consumer,Africa,1040.22,405.54
2014-11-03,Home Office,APAC,1380.6,55.17
2013-03-18,Consumer,US,971.5,252.59
2013-09-19,Consumer,LATAM,870.24,295.88
2011-07-13,Consumer,LATAM,583.92,251.04
2014-10-29,Consumer,EU,832.842,212.832
2013-06-11,Home Office,APAC,2276.4825,-472.5675
2013-11-13,Consumer,EU,1533.33,-34.11
2012-08-30,Consumer,EU,1894.4205,-111.4995
2012-04-20,Corporate,EU,1087.2,119.52
2012-02-08,Consumer,LATAM,635.80584,62.38584
2013-01-11,Consumer,EU,816.264,362.784
2012-09-18,Corporate,EU,1676.259,206.199
2014-04-23,Consumer,Africa,548.64,0.0
2013-12-26,Consumer,APAC,770.3064,9.2664
2014-10-18,Home Office,EU,1192.56,59.52
2013-09-10,Consumer,Africa,532.8,95.88
2012-09-22,Corporate,EU,423.24,-364.08
2012-08-20,Corporate,Africa,354.9,95.76
2012-09-21,Consumer,LATAM,659.424,-219.856
2013-03-06,Consumer,EU,621.18,236.04
2012-10-23,Corporate,EU,762.075,-8.475
2014-06-20,Consumer,APAC,1094.22,328.23
2014-12-17,Corporate,LATAM,575.96,120.82
2014-12-04,Corporate,EU,785.91,-18.54
2013-08-01,Corporate,EU,450.66,170.94
2012-05-04,Home Office,APAC,1017.927,214.857
2012-09-10,Home Office,Africa,280.872,-430.728
2012-05-09,Corporate,APAC,911.358,70.728
2013-10-03,Consumer,APAC,1287.432,-536.448
2014-04-23,Consumer,EU,1543.44,370.32
2013-07-12,Home Office,EU,723.3,7.2
2013-08-12,Consumer,APAC,1091.34,87.3
2013-02-08,Consumer,APAC,629.424,223.344
2014-01-24,Corporate,LATAM,970.048,-36.432
2014-12-23,Home Office,APAC,1109.052,86.202
2011-11-24,Consumer,US,1502.376,-250.396
2011-08-26,Consumer,EU,2223.99,321.24
2014-08-04,Consumer,Africa,1167.48,431.82
2012-09-10,Home Office,EU,735.048,-32.712
2012-06-22,Home Office,US,796.425,-525.6405
2012-08-10,Corporate,LATAM,451.6,4.48
2012-10-25,Consumer,APAC,1431.135,-127.215
2011-02-25,Consumer,Africa,393.96,78.78
2014-05-25,Corporate,APAC,951.0426,-646.0974
2014-09-02,Consumer,EU,1297.62,64.8
2013-09-04,Consumer,Africa,1023.36,184.08
2011-04-21,Consumer,LATAM,485.856,-81.024
2012-06-19,Consumer,EU,2570.94,856.98
2012-11-15,Home Office,APAC,3421.467,874.167
2012-11-21,Consumer,APAC,724.248,72.408
2014-02-12,Consumer,EU,1822.536,385.776
2012-06-13,Corporate,LATAM,863.2,293.4
2013-05-31,Consumer,EU,920.4,-276.12
2013-11-15,Corporate,LATAM,1022.256,-0.064
2013-05-25,Consumer,APAC,440.37,166.17
2011-06-07,Consumer,LATAM,381.76,87.76
2011-10-13,Consumer,APAC,1139.16,284.76
2012-10-17,Consumer,APAC,2052.54,638.46
2014-08-13,Home Office,LATAM,1497.44,299.44
2012-05-24,Consumer,US,602.651,-163.5767
2014-06-27,Corporate,LATAM,967.552,-205.608
2014-07-27,Corporate,US,1649.95,659.98
2013-07-13,Consumer,APAC,612.9,177.6
2014-04-07,Corporate,EU,1250.235,486.045
2014-06-21,Corporate,EU,598.104,166.104
2014-08-08,Corporate,LATAM,555.6,177.7
2014-12-17,Home Office,APAC,1813.5,145.08
2014-07-09,Corporate,EMEA,500.13,45.0
2013-08-29,Home Office,APAC,1269.912,-36.288
2014-04-16,Consumer,APAC,1431.4725,-343.5975
2014-01-10,Corporate,EU,1621.9275,95.3775
2011-09-08,Consumer,US,975.92,121.99
2011-09-08,Corporate,APAC,1591.11,364.23
2014-03-26,Corporate,APAC,898.74,134.73
2011-11-24,Corporate,LATAM,1707.264,192.024
2013-11-08,Home Office,US,1603.136,100.196
2012-06-07,Consumer,Canada,1084.68,488.1
2014-07-03,Consumer,LATAM,993.25408,-3.40592
2012-06-02,Consumer,EU,1016.64,406.56
2012-12-03,Home Office,EU,1236.6,98.85
2014-09-03,Consumer,APAC,476.28,204.66
2014-07-15,Consumer,APAC,2525.184,-294.816
2013-03-04,Consumer,APAC,1845.72,535.2
2013-06-13,Corporate,EU,552.204,104.304
2013-05-17,Consumer,APAC,1208.25,-80.55
2011-11-17,Corporate,LATAM,526.40508,188.78508
2012-09-25,Consumer,LATAM,1000.98,9.9
2013-11-13,Home Office,US,674.352,-8.4294
2012-11-21,Consumer,US,1252.704,-480.2032
2013-12-30,Corporate,APAC,884.952,255.432
2011-08-30,Consumer,EMEA,569.22,182.13
2012-03-07,Home Office,APAC,461.484,66.564
2014-08-22,Corporate,EU,765.0,-153.0
2013-06-10,Consumer,EU,370.02,33.18
2011-02-02,Corporate,EU,583.92,-58.56
2011-01-04,Consumer,LATAM,1648.44,609.84
2014-08-28,Home Office,EU,1100.16,164.88
2013-10-03,Corporate,LATAM,630.336,-63.104
2014-09-25,Home Office,LATAM,1258.7774,375.7774
2014-01-03,Consumer,US,913.43,-169.637
2011-07-26,Corporate,LATAM,872.5514,164.3514
2013-07-12,Corporate,LATAM,527.76,248.04
2012-12-25,Consumer,EU,462.834,190.134
2014-10-03,Home Office,LATAM,483.2,57.96
2014-09-06,Corporate,APAC,461.052,61.452
2013-09-19,Corporate,APAC,402.96,48.24
2011-07-20,Home Office,APAC,262.278,101.958
2011-03-28,Consumer,US,1184.72,106.6248
2014-10-06,Home Office,EU,955.5,276.99
2014-02-17,Consumer,EU,735.39,-235.35
2011-05-18,Corporate,APAC,785.61,157.05
2012-04-12,Consumer,EMEA,1000.98,280.26
2014-10-28,Home Office,APAC,642.6336,105.5136
2011-02-28,Home Office,APAC,401.28,-5.22
2012-11-24,Consumer,APAC,1455.12,116.4
2014-12-27,Corporate,EU,1010.34,-44.94
2012-10-27,Consumer,EU,1362.72,81.6
2014-09-06,Consumer,Africa,870.24,304.56
2013-09-19,Consumer,APAC,781.47,281.25
2013-12-23,Consumer,APAC,1232.1,431.1
2014-08-07,Consumer,EU,655.35,72.0
2012-05-24,Corporate,EU,757.5795,-62.4105
2014-03-17,Corporate,APAC,1481.7,711.0
2012-08-21,Corporate,EU,1110.267,110.997
2013-11-19,Home Office,APAC,1837.206,183.636
2013-08-24,Home Office,EU,497.64,179.1
2013-08-26,Home Office,APAC,1422.24,526.2
2012-02-22,Home Office,EMEA,988.008,-1235.052
2012-10-30,Corporate,EU,1168.83,46.71
2014-09-26,Consumer,EU,769.68,323.19
2013-09-16,Corporate,APAC,1860.0,316.2
2013-09-11,Consumer,US,719.96,53.997
2011-06-03,Corporate,APAC,384.21,110.91
2014-10-31,Consumer,US,1702.12,510.636
2014-09-29,Home Office,APAC,1059.237,235.377
2011-02-09,Consumer,LATAM,618.56,235.04
2014-05-16,Consumer,EU,1601.46,15.84
2011-04-04,Consumer,LATAM,1063.9678,-2.1322
2012-06-12,Consumer,EU,714.204,309.444
2014-03-08,Corporate,EU,474.18,18.9
2013-01-18,Consumer,LATAM,1051.38,94.62
2013-04-05,Corporate,APAC,826.2,27.54
2014-11-18,Consumer,LATAM,1318.38,382.2
2011-02-26,Corporate,LATAM,988.3194,126.7194
2012-05-11,Consumer,APAC,900.9,63.0
2014-07-21,Consumer,LATAM,609.52,-411.48
2014-11-13,Home Office,LATAM,1187.64,23.58
2013-02-03,Consumer,US,866.4,225.264
2014-02-20,Corporate,APAC,2042.544,255.234
2013-01-31,Home Office,US,1270.99,635.495
2012-04-18,Consumer,LATAM,1657.08,364.44
2013-09-10,Corporate,LATAM,1205.54,204.82
2013-07-22,Consumer,EU,757.32,371.04
2014-10-17,Corporate,EU,1096.326,-657.804
2012-10-03,Home Office,APAC,1567.62,208.98
2011-06-22,Corporate,APAC,619.02,-544.77
2011-01-03,Consumer,APAC,912.456,-319.464
2014-06-17,Corporate,EU,1859.55,18.48
2011-10-06,Consumer,APAC,965.58,376.53
2014-10-09,Consumer,APAC,535.68,246.36
2014-12-01,Consumer,APAC,1414.53,-106.47
2011-07-04,Consumer,EU,799.848,-71.232
2014-05-20,Consumer,EU,828.36,230.1
2013-03-16,Corporate,US,1352.032,84.502
2014-06-30,Consumer,US,307.314,-39.5118
2012-05-10,Corporate,APAC,569.88,5.64
2012-11-13,Consumer,APAC,951.72,-495.0
2013-08-03,Corporate,US,333.576,33.3576
2013-12-12,Corporate,APAC,2346.84,258.12
2014-08-12,Consumer,EU,414.75,8.19
2014-11-10,Corporate,US,215.976,-2.6997
2014-09-12,Consumer,US,406.6,113.848
2014-10-30,Corporate,LATAM,758.85924,21.27924
2012-06-01,Consumer,EU,1969.596,503.316
2014-06-18,Consumer,LATAM,590.1174,69.7374
2014-04-01,Home Office,US,671.93,188.1404
2011-08-11,Corporate,APAC,756.78,302.7
2014-12-25,Consumer,LATAM,1649.25488,277.53488
2013-02-18,Consumer,EU,388.8,99.36
2014-02-28,Consumer,APAC,545.4,60.6
2013-12-11,Corporate,APAC,414.666,179.676
2012-11-07,Corporate,EMEA,396.84,67.44
2012-11-26,Consumer,APAC,955.17,429.75
2014-12-11,Corporate,APAC,914.34,356.58
2011-05-31,Corporate,APAC,1245.024,62.184
2014-06-28,Home Office,APAC,240.0,88.8
2011-09-12,Home Office,Africa,1250.04,12.48
2014-12-08,Consumer,APAC,676.8,162.24
2011-12-12,Corporate,APAC,1112.778,407.988
2013-08-27,Home Office,APAC,1241.28,434.4
2012-09-05,Corporate,EU,750.06,91.56
2013-06-23,Consumer,EU,1536.489,170.559
2014-08-08,Consumer,US,707.88,44.2425
2013-05-31,Corporate,APAC,552.24,-331.38
2014-08-20,Consumer,EU,689.22,96.48
2012-09-12,Consumer,APAC,332.43,33.18
2013-01-03,Corporate,EU,970.272,215.592
2014-07-03,Consumer,EU,854.28,196.35
2013-09-28,Corporate,EU,762.075,-8.475
2012-10-01,Corporate,EU,1852.875,576.375
2014-06-03,Consumer,APAC,714.42,277.74
2014-05-07,Home Office,EU,881.55,185.04
2014-02-20,Corporate,EU,724.248,-446.712
2014-09-15,Consumer,EU,1119.582,198.882
2014-01-11,Corporate,APAC,1290.6,25.65
2013-12-16,Consumer,EU,364.284,-32.436
2013-10-07,Consumer,APAC,967.032,-435.168
2013-02-05,Home Office,Africa,415.62,182.82
2014-12-17,Corporate,EU,1058.25,-24.99
2013-09-24,Corporate,Africa,743.04,288.96
2012-10-03,Consumer,APAC,1220.31,512.4
2011-10-21,Corporate,APAC,1302.696,-101.424
2012-10-24,Consumer,APAC,1417.3578,-290.3022
2014-09-16,Home Office,EU,1715.91,308.7
2013-11-11,Consumer,US,720.76,187.3976
2013-11-09,Consumer,EU,1277.82,-357.9
2011-08-04,Consumer,EU,616.2,36.9
2014-06-01,Home Office,Africa,414.66,107.76
2014-03-08,Consumer,EU,1078.08,323.4
2013-03-21,Home Office,APAC,820.665,218.715
2014-05-20,Consumer,EU,488.88,141.66
2012-11-09,Home Office,Africa,1198.32,0.0
2014-06-30,Home Office,LATAM,514.548,-720.372
2011-12-16,Home Office,LATAM,1744.64,17.44
2011-09-23,Consumer,LATAM,1107.2,420.72
2013-09-11,Consumer,APAC,664.2,26.4
2012-12-12,Corporate,APAC,852.48,68.04
2011-11-25,Home Office,US,1117.92,55.896
2011-12-11,Consumer,LATAM,632.21304,264.77304
2011-12-21,Consumer,LATAM,629.58,264.32
2014-11-17,Corporate,EU,1549.296,-438.984
2012-03-16,Home Office,EU,729.5295,-60.2805
2011-05-23,Consumer,APAC,918.0,119.34
